#year,LandAverageT,dLandAverageT
1900,1.461,0.276
1901,2.191,0.291
1902,2.684,0.256
1903,2.514,0.224
1904,1.637,0.387
1905,2.254,0.345
1906,2.068,0.313
1907,1.798,0.274
1908,2.304,0.252
1909,1.395,0.314
1910,2.333,0.24
1911,1.66,0.33
1912,2.402,0.309
1913,2.083,0.295
1914,3.376,0.307
1915,2.299,0.246
1916,2.616,0.242
1917,2.133,0.252
1918,1.934,0.251
1919,2.184,0.252
1920,2.841,0.25
1921,2.98,0.32
1922,2.15,0.214
1923,2.487,0.276
1924,2.339,0.29
1925,2.268,0.228
1926,3.453,0.258
1927,2.372,0.268
1928,3.046,0.211
1929,2.054,0.289
1930,2.401,0.226
1931,2.761,0.225
1932,3.604,0.223
1933,2.169,0.226
1934,2.476,0.231
1935,2.175,0.204
1936,2.249,0.221
1937,2.453,0.196
1938,2.91,0.194
1939,2.932,0.198
1940,2.335,0.2
1941,2.735,0.199
1942,3.103,0.221
1943,2.396,0.195
1944,3.504,0.185
1945,2.525,0.186
1946,2.979,0.188
1947,2.597,0.184
1948,3.366,0.18
1949,3.219,0.17
1950,2.008,0.173
1951,2.138,0.132
1952,3.049,0.144
1953,2.964,0.166
1954,2.059,0.148
1955,3.412,0.152
1956,2.466,0.099
1957,2.488,0.1
1958,3.574,0.114
1959,2.959,0.077
1960,2.713,0.086
1961,2.926,0.089
1962,3.003,0.075
1963,2.901,0.08
1964,2.881,0.171
1965,2.862,0.069
1966,2.49,0.059
1967,2.71,0.07
1968,2.353,0.094
1969,1.966,0.053
1970,2.836,0.084
1971,2.967,0.101
1972,1.882,0.086
1973,3.038,0.092
1974,2.261,0.096
1975,3.059,0.078
1976,2.884,0.068
1977,2.492,0.087
1978,2.705,0.095
1979,2.679,0.083
1980,2.956,0.087
1981,3.785,0.121
1982,2.558,0.08
1983,3.445,0.115
1984,2.941,0.081
1985,3.01,0.082
1986,3.315,0.117
1987,3.139,0.115
1988,3.454,0.07
1989,2.71,0.108
1990,3.243,0.09
1991,3.195,0.066
1992,3.579,0.084
1993,3.301,0.096
1994,3.024,0.063
1995,3.54,0.057
1996,2.862,0.088
1997,3.165,0.083
1998,3.352,0.076
1999,3.544,0.07
2000,2.95,0.091
2001,3.336,0.077
2002,4.026,0.065
2003,3.981,0.07
2004,3.525,0.062
2005,3.808,0.064
2006,3.286,0.064
2007,4.579,0.059
2008,2.844,0.059
2009,3.687,0.078
2010,3.737,0.079
2011,3.282,0.082
2012,3.157,0.085
2013,3.685,0.097
2014,3.732,0.075
2015,3.881,0.13
